科学的とは、推論を実験で現実だと証明できる実証性と、いつ誰が実験しても同一の結果を示す再現性と、主観や思い込みではなく誰の目からも事実であると認められる客観性の３つの条件を満たす必要がある。,4.0
「科学的」とは、「実証性」「再現性」「客観性」の３つの条件をみたすものである必要がある。また、定量性やはっきりとした論拠も「科学的」であることの一つの条件であるといえる。,3.0
「科学的」であることを満たす条件は、仮説が観察実験によって検討できるという実証性、同一条件下で同一の結果が得られるという再現性、多数の人々によって承認され、公認されるという客観性の３つである。,5.0
実際にそれを実験で証明可能であり、その証明は誰にでも再現可能であり、その証明が誰の目から見ても明らかであるという３つの条件を満たすことが「科学的」であるためには必要である。,3.0
科学的であることの条件としては、仮説が検討可能であるという実証性、同一条件下で同一の結果が得られる再現性、広く承認され公認される客観性を満たす必要がある。,5.0
「科学的」とは、仮説が実験などで検討できる実証性、同一の実験下で同一の結果が得られる再現性、そして多数の人々によって承認され、公認される客観性の条件を満たす必要がある。,5.0
「科学的」は、仮説が観察や実験によって検当出来、同一の条件下では同一の結果が得られ、科学的コミュニティにおいて多数の人々によって承認され公認される、という３つの条件を満たす必要がある。,3.0
実験により現象を説明する実証性と、ある現象をそれが起こったときと同じ条件下を作ることで再現することができる再現性、そして多くの人々によって承認されている客観性という３つの条件。,5.0
仮説を実験によって検討できる実証性、同一の条件下で同一の結果を得られる再現性、多数の人々によって承認され、また公認される客観性、これら三つの条件をみたす必要がある。,5.0
「科学的」であるためには、３つの条件を満たす必要がある。１つ目は、仮説が実験等によって検証できる実証性、２つ目は誰が何回行っても同じ結果になる再現性、３つ目は多数の人に承認される客観性である。,4.0
「科学的」とは、仮説が観察実験などによって検討できるという実証性、同一の条件下では同一の結果が得られるという再現性、多数の人々によって承認され、公認されるという客観性の３つの条件をみたす必要がある。,5.0
仮説が観察・実験などによって検討できる実証性、同一の条件下では同一の結果が得られる再現性、多数の人々によって承認され、公認される客観性の３つの条件をみたす必要がある。,5.0
実証的であること。再現的であること。誰であろうとも実験結果は同じである必要がある。そして客観的であること。誰から見ても公平でなければならない。以上の３つの条件を満たさなくてはならない。,3.0
「科学的」であることは、仮説を観察実験により検討できる実証性と同一条件下で同一の結果を得られる再現性、多数の人々によって承認され、公認される客観性の３つの特徴を必要とする。,5.0
仮説が観察実験で検討することができる実証性、同一の条件下では同一の結果が得られる再現性、学会等の科学コミュニティで多数の人によって証明され、公認される客観性の三条件を満たす必要がある。,5.0
「科学的」とは、次の３つの条件を満たす必要がある。まず１つに、仮説が実際に検証できる実証性である。次に、同一条件下で再び同一の結果をもたらす再現性である。最後に、多くの人々の承認という客観性である。,5.0
「科学的」であるには、仮説が観察実験等によって検討できる「実証性」、同一の条件下で同一の結果が得られる「再現性」、多数の人々によって承認され、公認される「客観性」の三つの条件を満たす必要がある。,5.0
仮説が観察実験などによって検証されるという実証性と、同一の条件下では同一の結果が得られるという再現性と、多数の人々によって承認され公認されるという客観性が科学的であるためには必要である。,5.0
講義によれば、「科学的」とは、第一に実証性、第二に再現性、第三に客観性の条件を満たすことである。実証性は仮説の立証が可能なこと、再現性は同条件で同結果になること、客観性は、学会等における承認を指す。,5.0
科学的とは、仮説が観察実験などで検討できる実証性と、同一条件下で同一の結果が得られる再現性、そして多数の人により承認され公認される客観性といった３つの条件をみたす必要がある。,5.0
科学的と言えるためには、一般的に３つの条件を要求される。「実証性・再現性・客観性」の３つにより、それが仮説でなく実論であり、かつ誰により手がけても同一の結果を示すことが科学的と言える。,3.0
  必ず何らかの方法をもってして検証することが可能であるという実証性と同一条件下で同一の結果が得られるという再現性、及び多くの人に承認され公認されるという客観性の３つの要件を兼ね備える必要がある。,4.0
３つの条件が必要である。１つ目に、仮説が実験で検討できるという実証性、２つ目に、同一の条件下では同一の結果が現れるという再現性、３つ目に、多数の人々によって承認及び公認されるという客観性が必要だ。,5.0
「科学的」とは、仮説が観察実験などによって検討できる「実証性」、同一の条件下では同一の結果が得られる「再現性」と、多数の人々によって承認され、公認される「客観性」といった条件をみたす必要がある。,5.0
  科学的とは、以下の三つの条件を果たさなければいけない。実証性つまり、仮説で検討できること。再現性つまり、同一の条件では同一の結果が出ること。客観性つまり、多くの人々により、承認・公認されること。,4.0
科学的とは、仮説が観察実験等により検討できる実証性、同一の条件下では同一の結果を得られる再現性、多数の人々によって承認され、公認される客観性という三要素を満たしていることをいう。,5.0
仮説を立て、検証する事ができる実証性と、何回やっても同じ結果になることが期待できる再現性、多くの人に承認され、公認されるという客観性の三つの要素を兼ね備えている必要がある。,4.0
「科学的」とは以下の３つの条件を満たす必要がある。一点目は実証性で、仮説が実験等で検討できるか。２点目は再現性で、同一条件下では同結果が得られるか。３点目は客観性で、多数の人々に承認・公認されるか。,5.0
科学的とは、実証性、再現性、客観性の３つの条件を満たす必要性がある。なぜなら、多数の人たちが、「このようになった」と述べても、本当にそれが起きたか、どうかは実際にためしてみないとわからないからだ。,3.0
実証性と再現性と客観性の３つを満たす必要がある。実験などを行い証明が可能であり、また同一の条件下であればいつでも再現が可能であること、多数の人々によって確認されていることを満たす必要がある。,5.0
科学的とは、仮説について実験などで検討できるような実証性、同一の条件下では同一の結果が得られる再現性、多数の人々によって承認され、公認される客観性、これら３つが最低限満たしている必要がある。,5.0
科学的であるための条件の１つ目は、仮説が観察などで検討できる「実証性」。２つ目は、同一条件で同一の結果が得られる「再現性」。３つ目は、多数の人から結果が認められる「客観性」である。,5.0
立てた仮説が実際に観察実験などで検討できるという実証性、同一条件下で同一結果が得られるという再現性、科学コミュニティで多数の人に承認されるという客観性の三つの条件をみたす必要がある。,5.0
仮説が観察実験などにより検討することができる実証性と、同一条件下で同一の結果が得られる再現性、そして、多数の人によって承認されて、公認される客観性をあわせ持つ必要がある。,5.0
「科学的」とは、検討可能な実証性、同一の結果が得られる再現性、公認される客観性の三つの条件をみたす必要がある。自然の本質を解釈する際の不十分なものを防ぐための客観性確保のプロセスとして必要なのだ。,4.0
科学的とは世界中のどこでも必ず満たす必要のある条件として、仮説が観察実験等により検討できる実証性、同一の条件下では同一の結果が得られる再現性、多数の人々により承認され公認される客観性がある。,5.0
科学的とは、仮説が観察実験によって検討できる実証性、同一の条件下では同一の結果が得られる再現性、多数の人々によって承認され、公認される客観性をみたす必要がある。,5.0
科学的であるためには、実験や検討が実際に可能であること（実証性）、同一条件で同じ結果になること（再現性）、多くの人に認められること（客観性）の３要素を満たさなければならない。,4.0
科学的とは、実証性、再現性、客観性の３つの条件を満たした状態のことである。,3.0
「科学的」とは、仮説が観察や実験で検討できる「実証性」、同一条件下で同一の結果が得られる「再現性」、多数の人によって承認される「客観性」の３つの条件を満たす必要がある。,5.0
科学的とは３つの条件をみたす必要があり、１つは実証性、２つは再現性、３つは客観性である。この３つ全てがみたされて科学的と言え、１つでもみたされていないと科学的といえない。,3.0
観察的実験などで検討することができる「実証性」、同一条件下ならば同じ結果となる「再現性」、多類の人々によって承認され、公認される「客観性」の、３つの条件をみたす必要がある。,5.0
科学的とは実証性、再現性、客観性の三つの側面を満たすもので、仮説が検討でき、同一条件下で行うと再び同一結果が得られるもので、多くの人に承認、公認されるものである。,4.0
科学的には３つの条件が大切であり、仮説が実験によって観察できる実証性、同じ条件で同じことができる再現性、多数の人によって承認され、公認される客観性が必要である。,5.0
仮説が観察実験などによって検討できる実証性、同一の条件下では同一の結果が得られる再現性、多数の人々によって承認され、公認される客観性という３条件をみたす必要がある,5.0
仮説が観察実験等によって検討できる『実証性』、同一の条件下では同一の結果が得られる『再現性』、多数の人々によって承認され、公認される『客観性』の３つの条件を満たす必要がある。,5.0
主に３つの条件がある。それらは、仮説が観察実験などにより検討できる｢実証性｣、同一条件下では同一結果が得られるという｢再現性｣、そして多数の人々に承認、公認されるという｢客観性｣である。,5.0
仮説が観察実験などによって検討できる「実証性」、同一の条件下では同一の結果が得られる「再現性」、そして、多数の人々（科学コミュニティ）によって承認され公認される「客観性」の３条件をみたす必要がある。,5.0
身のまわりに起きている事象を根拠を持って説明し、法則を見つけることが必要である。,1.0
